year,quarter,base_type,path,size_mb
2018,4,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2018\eph_individual_2018_q4.parquet,3.24
2019,1,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2019\eph_hogar_2019_q1.parquet,0.74
2019,1,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2019\eph_individual_2019_q1.parquet,3.37
2019,2,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2019\eph_hogar_2019_q2.parquet,0.71
2019,2,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2019\eph_individual_2019_q2.parquet,3.33
2019,3,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2019\eph_hogar_2019_q3.parquet,0.7
2019,3,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2019\eph_individual_2019_q3.parquet,3.26
2019,4,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2019\eph_hogar_2019_q4.parquet,0.73
2019,4,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2019\eph_individual_2019_q4.parquet,3.33
2020,1,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2020\eph_hogar_2020_q1.parquet,0.65
2020,1,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2020\eph_individual_2020_q1.parquet,2.9
2020,2,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2020\eph_hogar_2020_q2.parquet,0.47
2020,2,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2020\eph_individual_2020_q2.parquet,2.07
2020,3,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2020\eph_hogar_2020_q3.parquet,0.51
2020,3,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2020\eph_individual_2020_q3.parquet,2.21
2020,4,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2020\eph_hogar_2020_q4.parquet,0.6
2020,4,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2020\eph_individual_2020_q4.parquet,2.62
2021,1,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2021\eph_hogar_2021_q1.parquet,0.64
2021,1,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2021\eph_individual_2021_q1.parquet,2.69
2021,2,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2021\eph_hogar_2021_q2.parquet,0.62
2021,2,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2021\eph_individual_2021_q2.parquet,2.78
2021,3,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2021\eph_hogar_2021_q3.parquet,0.68
2021,3,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2021\eph_individual_2021_q3.parquet,2.94
2021,4,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2021\eph_hogar_2021_q4.parquet,0.71
2021,4,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2021\eph_individual_2021_q4.parquet,3.01
2022,1,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2022\eph_hogar_2022_q1.parquet,0.71
2022,1,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2022\eph_individual_2022_q1.parquet,3.04
2022,2,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2022\eph_hogar_2022_q2.parquet,0.74
2022,2,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2022\eph_individual_2022_q2.parquet,3.14
2022,3,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2022\eph_hogar_2022_q3.parquet,0.72
2022,3,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2022\eph_individual_2022_q3.parquet,3.08
2022,4,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2022\eph_hogar_2022_q4.parquet,0.7
2022,4,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2022\eph_individual_2022_q4.parquet,2.93
2023,1,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2023\eph_hogar_2023_q1.parquet,0.71
2023,1,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2023\eph_individual_2023_q1.parquet,2.99
2023,2,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2023\eph_hogar_2023_q2.parquet,0.72
2023,2,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2023\eph_individual_2023_q2.parquet,3.01
2023,3,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2023\eph_hogar_2023_q3.parquet,0.71
2023,3,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2023\eph_individual_2023_q3.parquet,2.97
2023,4,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2023\eph_hogar_2023_q4.parquet,0.71
2023,4,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2023\eph_individual_2023_q4.parquet,3.45
2024,1,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2024\eph_hogar_2024_q1.parquet,0.72
2024,1,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2024\eph_individual_2024_q1.parquet,3.19
2024,2,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2024\eph_hogar_2024_q2.parquet,0.71
2024,2,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2024\eph_individual_2024_q2.parquet,3.19
2024,3,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2024\eph_hogar_2024_q3.parquet,0.75
2024,3,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2024\eph_individual_2024_q3.parquet,3.26
2024,4,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2024\eph_hogar_2024_q4.parquet,0.73
2024,4,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2024\eph_individual_2024_q4.parquet,3.42
2025,1,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2025\eph_hogar_2025_q1.parquet,0.71
2025,1,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2025\eph_individual_2025_q1.parquet,3.4
2025,2,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2025\eph_hogar_2025_q2.parquet,0.72
2025,2,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2025\eph_individual_2025_q2.parquet,3.39
2025,3,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2025\eph_hogar_2025_q3.parquet,0.71
2025,3,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2025\eph_individual_2025_q3.parquet,3.35
2025,4,hogar,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2025\eph_hogar_2025_q4.parquet,0.64
2025,4,individual,C:\Users\marco\OneDrive\Desktop\spark-poverty-argentina\data\raw\eph\2025\eph_individual_2025_q4.parquet,3.14
